
% time 0.2000
% report fiber
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2343   -1.3188   -0.0148    0.9990   -0.0421   -0.0141    4.0000    0.9999         0
         1         2    4.0000    2.4083   -3.4092   -0.0974    0.2837    0.9589    0.0079    3.9999    0.9999         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2638   -1.2344    0.0414    0.9964   -0.0800   -0.0292    4.0000    1.0000         0
         1         2    4.0000    2.4752   -3.2499   -0.1001    0.2740    0.9617   -0.0002    4.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2528   -1.1398    0.0486    0.9925   -0.1171   -0.0350    3.9999    0.9999         0
         1         2    4.0000    2.3880   -3.2218   -0.0997    0.3018    0.9534   -0.0005    4.0000    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2759   -1.1608    0.0999    0.9998    0.0182   -0.0001    4.0000    1.0000         0
         1         2    4.0000    2.4001   -3.0757   -0.0588    0.3165    0.9482    0.0290    3.9999    0.9998         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.3023   -1.4294    0.0847    0.9930    0.1185    0.0023    4.0000    1.0000         0
         1         2    4.0000    2.4695   -3.1278   -0.0588    0.2814    0.9593    0.0235    4.0000    1.0000         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.4673   -1.5213   -0.0717    0.9956    0.0863    0.0363    3.9999    0.9998         0
         1         2    4.0000    2.5286   -3.2541   -0.0986    0.3406    0.9402   -0.0001    4.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.5528   -1.5521    0.1255    0.9943    0.1061   -0.0079    4.0000    0.9999         0
         1         2    4.0000    2.5768   -3.2195   -0.0399    0.3720    0.9278    0.0290    4.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.6310   -1.6581    0.0999    0.9909    0.1348    0.0006    4.0000    1.0000         0
         1         2    4.0000    2.4802   -3.1728   -0.0233    0.4647    0.8852    0.0207    3.9999    0.9998         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.6744   -1.5842    0.0981    0.9989    0.0479    0.0020    4.0000    0.9999         0
         1         2    4.0000    2.5164   -3.2370    0.0326    0.4804    0.8770    0.0003    3.9999    0.9999         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.6325   -1.8177   -0.0908    0.9882    0.1525    0.0123    3.9999    0.9999         0
         1         2    4.0000    2.4810   -3.2935   -0.0659    0.4801    0.8764   -0.0386    3.9999    0.9999         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.7080   -1.8653   -0.0932    0.9976    0.0683    0.0124    3.9998    0.9997         0
         1         2    4.0000    2.3589   -3.3484   -0.1123    0.5870    0.8095   -0.0090    3.9999    0.9998         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.5337   -1.8774    0.0083    0.9982    0.0549   -0.0253    4.0000    1.0000         0
         1         2    4.0000    2.2489   -3.4287   -0.0949    0.5654    0.8248   -0.0068    4.0000    0.9999         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.5024   -1.8272    0.0953    0.9931    0.1170   -0.0061    4.0000    1.0000         0
         1         2    4.0000    2.1687   -3.2373   -0.0299    0.5905    0.8065    0.0301    4.0000    1.0000         0
% end

% time 14.6000
