
% time 0.2000
% report fiber
         1         2    4.0000    1.6390    0.3710   -0.0422   -0.2949    0.9553    0.0199    3.9998    0.9996         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5851    1.2287   -0.0006    0.9831   -0.1778   -0.0424    3.9997    0.9995         0
         1         2    4.0000    1.7802    0.2722    0.0053   -0.6217    0.7832   -0.0005    3.9999    0.9998         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4975    1.2428    0.0503    0.9600   -0.2792   -0.0197    4.0000    1.0000         0
         1         2    4.0000    1.9401    0.1829    0.0995   -0.7537    0.6572   -0.0007    4.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5429    1.3317    0.0014    0.9317   -0.3583   -0.0599    3.9998    0.9997         0
         1         2    4.0000    1.9233    0.1990    0.0174   -0.8310    0.5540   -0.0504    3.9998    0.9996         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5473    1.2903    0.0243    0.9168   -0.3985   -0.0257    3.9999    0.9998         0
         1         2    4.0000    1.9945    0.2306    0.0081   -0.9154    0.3990    0.0528    3.9999    0.9998         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4993    1.2791   -0.0794    0.9170   -0.3988   -0.0003    3.9998    0.9995         0
         1         2    4.0000    2.0701    0.2415   -0.0139   -0.9256    0.3779    0.0205    3.9999    0.9998         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5859    1.3858   -0.0567    0.9317   -0.3631    0.0082    3.9998    0.9994         0
         1         2    4.0000    2.0271    0.4022    0.0258   -0.9286    0.3706    0.0197    3.9997    0.9995         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5936    1.2370   -0.0031    0.9351   -0.3538    0.0204    3.9999    0.9997         0
         1         2    4.0000    2.0358    0.2708    0.0874   -0.9294    0.3690    0.0117    3.9998    0.9996         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6012    1.0307    0.0404    0.9596   -0.2809   -0.0148    3.9999    0.9998         0
         1         2    4.0000    2.1173    0.2325    0.0653   -0.9473    0.3188    0.0308    3.9994    0.9985         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6509    1.0828   -0.0688    0.9625   -0.2707    0.0154    3.9999    0.9996         0
         1         2    4.0000    2.1012    0.3539    0.0238   -0.9625    0.2712    0.0086    3.9998    0.9996         0
% end
