
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0385    0.7718   -0.0917    0.9993    0.0346   -0.0118    3.9998    0.9997         0
         1         2    4.0000    1.8102    0.9225   -0.1004   -0.9998   -0.0210    0.0005    3.9998    0.9996         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0301    0.9638   -0.0961    0.9971   -0.0762    0.0079    3.9998    0.9997         0
         1         2    4.0000    1.8362    0.9339   -0.0610   -0.9971    0.0715   -0.0264    4.0000    0.9999         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0938    1.0884   -0.0732    0.9978   -0.0633    0.0173    4.0000    0.9999         0
         1         2    4.0000    1.9317    1.0589   -0.0319   -0.9966    0.0813   -0.0158    3.9997    0.9996         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0367    0.9721   -0.0582    0.9996   -0.0119    0.0262    3.9999    0.9998         0
         1         2    4.0000    1.9042    1.0277    0.0043   -0.9985    0.0379   -0.0402    3.9994    0.9990         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0176    0.8052   -0.1000    0.9999    0.0127    0.0005    3.9998    0.9997         0
         1         2    4.0000    1.9426    0.9352   -0.0742   -0.9996   -0.0161   -0.0221    3.9999    0.9998         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0688    0.8296   -0.1041    0.9978   -0.0651    0.0123    3.9999    0.9999         0
         1         2    4.0000    1.8933    0.7984   -0.0532   -0.9969    0.0748   -0.0225    3.9997    0.9995         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1425    0.9481   -0.1010    0.9908   -0.1356   -0.0012    3.9998    0.9996         0
         1         2    4.0000    1.8527    0.7919   -0.0670   -0.9923    0.1239   -0.0084    4.0000    0.9999         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0574    0.9234   -0.0913    0.9975   -0.0712   -0.0021    3.9999    0.9997         0
         1         2    4.0000    1.9774    0.8601   -0.0530   -0.9959    0.0905   -0.0011    3.9998    0.9998         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1650    1.0084   -0.0179    0.9908   -0.1313   -0.0335    3.9999    0.9999         0
         1         2    4.0000    1.9183    0.8250   -0.0488   -0.9897    0.1402    0.0304    3.9998    0.9996         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2244    0.9658   -0.0122    0.9828   -0.1819   -0.0314    3.9998    0.9997         0
         1         2    4.0000    1.8917    0.6869   -0.0299   -0.9858    0.1635    0.0371    4.0000    0.9999         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2863    1.0670   -0.0333    0.9708   -0.2391   -0.0198    3.9998    0.9997         0
         1         2    4.0000    1.8337    0.6344    0.0238   -0.9720    0.2348   -0.0093    4.0000    0.9999         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4791    1.1556    0.0083    0.9783   -0.2072   -0.0018    3.9993    0.9989         0
         1         2    4.0000    1.6865    0.8204    0.0967   -0.9842    0.1769   -0.0091    3.9998    0.9996         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4055    1.1591   -0.0129    0.9926   -0.1138    0.0422    4.0000    0.9999         0
         1         2    4.0000    1.8762    1.0155    0.1003   -0.9970    0.0772   -0.0002    4.0000    0.9999         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4580    1.1621   -0.0587    0.9961   -0.0863    0.0192    4.0000    1.0000         0
         1         2    4.0000    1.8638    0.9911    0.0787   -0.9984    0.0545   -0.0133    3.9999    0.9999         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
