
% time 0.2000
% report fiber
         1         1    4.0000   -0.8640   -0.7193    0.0093    0.9989    0.0153   -0.0438    4.0000    1.0000         0
         1         2    2.0000    1.9184   -0.8650   -0.0888   -0.9947    0.1013    0.0164    2.0000    1.0000         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7815   -0.6932   -0.0774    0.9998    0.0024   -0.0172    4.0000    1.0000         0
         1         2    2.0000    2.0026   -0.8053   -0.1192   -0.9994    0.0323    0.0142    2.0000    1.0000         0
% end

% time 15.0000
% report fiber
