
% time 0.2000
% report fiber
         1         2    3.0000   -0.6693   -0.2654   -0.0808   -0.9805   -0.1941    0.0298    2.9990    0.9966         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.3801   -0.3211    0.0532    0.9908    0.1333    0.0213    4.0000    1.0000         0
         1         2    3.0000   -0.6657   -0.2175   -0.0239   -0.9888   -0.1469   -0.0254    2.9998    0.9994         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.3308   -0.2990    0.1081    0.9890    0.1476   -0.0072    3.9999    0.9998         0
         1         2    3.0000   -0.5668   -0.1428    0.0145   -0.9873   -0.1588    0.0017    2.9998    0.9995         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.2754   -0.2290   -0.0168    0.9837    0.1797    0.0014    3.9999    0.9997         0
         1         2    3.0000   -0.5008   -0.0464   -0.0994   -0.9848   -0.1736    0.0000    2.9998    0.9994         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.4930   -0.1786   -0.0137    0.9845    0.1702    0.0425    3.9999    0.9999         0
         1         2    3.0000   -0.6674    0.0170   -0.0542   -0.9877   -0.1521   -0.0368    2.9998    0.9993         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.4420   -0.2543   -0.0113    0.9917    0.1226    0.0385    3.9999    0.9997         0
         1         2    3.0000   -0.5524   -0.0899   -0.0605   -0.9934   -0.1115   -0.0263    3.0000    1.0000         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.4406   -0.0922   -0.0252    0.9988    0.0471   -0.0092    4.0000    1.0000         0
         1         2    3.0000   -0.5100    0.0205   -0.1003   -0.9985   -0.0542    0.0005    2.9999    0.9998         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.6888    0.0134   -0.0355    0.9941    0.1083    0.0016    3.9997    0.9995         0
         1         2    3.0000   -0.7360    0.1929   -0.0879   -0.9956   -0.0927    0.0163    2.9997    0.9992         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.5505   -0.0282   -0.0565    0.9925    0.1222    0.0007    3.9999    0.9999         0
         1         2    3.0000   -0.5494    0.1830   -0.1003   -0.9924   -0.1233    0.0001    3.0000    1.0000         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.5513   -0.0171   -0.0169    0.9891    0.1410    0.0419    4.0000    1.0000         0
         1         2    3.0000   -0.4925    0.2208   -0.0222   -0.9875   -0.1491   -0.0502    3.0000    1.0000         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.5303    0.0587    0.0390    0.9926    0.1139   -0.0421    3.9999    0.9997         0
         1         2    3.0000   -0.4339    0.2642   -0.0685   -0.9911   -0.1307    0.0258    3.0000    0.9999         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.5088   -0.0061    0.0360    0.9825    0.1829   -0.0365    4.0000    1.0000         0
         1         2    3.0000   -0.3979    0.2808   -0.0605   -0.9834   -0.1785    0.0335    2.9996    0.9992         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.6642    0.1830    0.0218    0.9890    0.1439   -0.0343    3.9999    0.9998         0
         1         2    3.0000   -0.4932    0.4352   -0.0700   -0.9897   -0.1397    0.0303    2.9999    0.9996         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.7157    0.1669    0.0728    0.9931    0.1157   -0.0186    3.9999    0.9998         0
         1         2    3.0000   -0.5033    0.3920   -0.0052   -0.9930   -0.1169    0.0154    2.9998    0.9995         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
