
% time 0.2000
% report fiber
         1         2    4.0000   -0.1815    0.3875   -0.0088   -0.2142    0.9753    0.0549    3.9999    0.9997         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2200   -0.1176   -0.1006    0.7446   -0.6675   -0.0005    4.0000    0.9999         0
         1         2    4.0000   -0.2317    0.4158    0.0033   -0.4005    0.9140    0.0651    3.9998    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3762    0.1038   -0.0081    0.6764   -0.7343    0.0572    4.0000    1.0000         0
         1         2    4.0000   -0.0796    0.5930    0.0575   -0.5480    0.8361    0.0244    4.0000    0.9999         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4081    0.2050    0.0026    0.6019   -0.7986   -0.0051    3.9999    0.9999         0
         1         2    4.0000    0.0044    0.6891    0.0997   -0.6152    0.7883    0.0004    4.0000    1.0000         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3079    0.1543    0.0022    0.6520   -0.7582    0.0003    4.0000    1.0000         0
         1         2    4.0000   -0.0759    0.5777    0.1007   -0.6575    0.7535   -0.0009    4.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4316    0.1042   -0.0120    0.6560   -0.7548   -0.0054    3.9999    0.9999         0
         1         2    4.0000    0.0841    0.5094    0.0916   -0.6271    0.7789    0.0095    3.9999    0.9998         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4694    0.1572    0.0124    0.6282   -0.7780    0.0043    4.0000    0.9999         0
         1         2    4.0000    0.2036    0.5548    0.1001   -0.6480    0.7617    0.0023    3.9998    0.9997         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4576    0.0956    0.0335    0.6598   -0.7513    0.0137    3.9999    0.9998         0
         1         2    4.0000    0.2217    0.4675    0.1007   -0.6827    0.7306    0.0156    3.9998    0.9996         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2968   -0.0019    0.0252    0.6769   -0.7355   -0.0272    3.9999    0.9999         0
         1         2    4.0000    0.1044    0.3321    0.0888   -0.6706    0.7417    0.0133    3.9999    0.9998         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3074    0.0822    0.0146    0.6739   -0.7388   -0.0079    4.0000    1.0000         0
         1         2    4.0000    0.1136    0.3517    0.1091   -0.6743    0.7384    0.0088    4.0000    1.0000         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2246   -0.1038    0.0858    0.6246   -0.7810   -0.0021    3.9999    0.9999         0
         1         2    4.0000    0.1435    0.1564    0.0881   -0.6229    0.7821    0.0168    3.9998    0.9997         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1634   -0.1709    0.0848    0.7242   -0.6896   -0.0028    4.0000    1.0000         0
         1         2    4.0000    0.0647    0.0598    0.0699   -0.7224    0.6912    0.0215    3.9999    0.9999         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2147   -0.1091    0.0962    0.7544   -0.6564   -0.0034    3.9999    0.9999         0
         1         2    4.0000    0.1296    0.0919    0.0755   -0.7575    0.6526   -0.0184    4.0000    0.9999         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0518   -0.1444    0.0996    0.7301   -0.6833   -0.0036    4.0000    0.9999         0
         1         2    4.0000    0.0266    0.0163    0.1007   -0.7299    0.6835    0.0011    4.0000    1.0000         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0507   -0.1600    0.0815    0.7556   -0.6549    0.0128    4.0000    1.0000         0
         1         2    4.0000    0.0335   -0.0552    0.0063   -0.7461    0.6659   -0.0005    4.0000    0.9999         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0336   -0.2001    0.1001    0.7275   -0.6861   -0.0005    4.0000    1.0000         0
         1         2    4.0000   -0.0143   -0.1328    0.0215   -0.7347    0.6784   -0.0077    4.0000    1.0000         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0328   -0.0514    0.0927    0.6218   -0.7831   -0.0066    4.0000    1.0000         0
