
% time 0.2000
% report fiber
         1         2    4.0000   -2.9201   -1.0834   -0.0266    0.9236    0.3820   -0.0331    3.9997    0.9995         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2324   -0.4193   -0.0441    0.9993   -0.0191   -0.0332    3.9999    0.9999         0
         1         2    4.0000   -2.9458   -0.9157   -0.0791    0.8652    0.5012   -0.0122    4.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0581   -0.3748    0.0003    0.9888   -0.1490    0.0036    3.9999    0.9999         0
         1         2    4.0000   -3.0856   -1.0082   -0.0998    0.8852    0.4652    0.0003    4.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0378   -0.3574    0.0103    0.9908   -0.1348    0.0092    3.9999    0.9999         0
         1         2    4.0000   -3.1607   -1.0191   -0.0978    0.8860    0.4638   -0.0013    4.0000    0.9999         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1394   -0.4524    0.0379    0.9984   -0.0489    0.0282    4.0000    1.0000         0
         1         2    4.0000   -3.2634   -1.1473   -0.1175    0.9139    0.4058    0.0101    4.0000    1.0000         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1283   -0.5248    0.0068    0.9996    0.0239    0.0122    4.0000    1.0000         0
         1         2    4.0000   -3.3218   -1.0939   -0.1113    0.9574    0.2886    0.0113    3.9999    0.9998         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1824   -0.5785   -0.0229    0.9957   -0.0901   -0.0205    3.9999    0.9998         0
         1         2    4.0000   -3.3119   -1.1079   -0.0981    0.9383    0.3457    0.0044    3.9999    0.9999         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1939   -0.4973   -0.0612    0.9994    0.0219   -0.0257    4.0000    0.9999         0
         1         2    4.0000   -3.3396   -1.0998   -0.0999    0.9542    0.2992   -0.0002    4.0000    1.0000         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0679   -0.5066    0.0295    0.9943   -0.1020   -0.0295    3.9999    0.9998         0
         1         2    4.0000   -3.1586   -1.0439   -0.0351    0.9376    0.3468    0.0237    4.0000    0.9999         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
