
% time 0.2000
% report fiber
         1         2    4.0000    1.2948    2.6237   -0.0925   -0.3600    0.9330   -0.0034    3.9999    0.9999         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0036    1.2147    0.0996    0.9561   -0.2930   -0.0008    4.0000    1.0000         0
         1         2    4.0000    1.3031    2.4904    0.0485   -0.2990    0.9538    0.0294    4.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0298    1.1445    0.1034    0.9730   -0.2306   -0.0071    3.9999    0.9999         0
         1         2    4.0000    1.2811    2.5234    0.0504   -0.3456    0.9380    0.0285    4.0000    1.0000         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1742    1.2331    0.0862    0.9673   -0.2532   -0.0123    3.9999    0.9999         0
         1         2    4.0000    1.1784    2.5662    0.0499   -0.3261    0.9446    0.0362    3.9999    0.9997         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2307    1.2365   -0.0228    0.9685   -0.2479    0.0220    4.0000    0.9999         0
         1         2    4.0000    1.1603    2.5741   -0.0738   -0.2849    0.9586   -0.0036    4.0000    1.0000         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2439    1.0634   -0.0204    0.9889   -0.1483    0.0100    3.9999    0.9999         0
         1         2    4.0000    1.0898    2.5847   -0.0988   -0.3379    0.9412    0.0007    4.0000    1.0000         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2829    1.2297   -0.0931    0.9923   -0.1238    0.0089    4.0000    0.9999         0
         1         2    4.0000    1.0726    2.7983   -0.0998   -0.3655    0.9308    0.0000    4.0000    1.0000         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4108    1.1867   -0.0706    0.9936   -0.1111    0.0224    3.9999    0.9999         0
         1         2    4.0000    1.0881    2.8044   -0.0984   -0.2523    0.9676    0.0008    4.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3720    1.1657    0.0731    0.9941   -0.1017   -0.0390    3.9993    0.9987         0
         1         2    4.0000    1.0191    2.7477   -0.0079   -0.3047    0.9507    0.0582    3.9998    0.9997         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3473    1.2728    0.1010    0.9927   -0.1202   -0.0004    4.0000    1.0000         0
         1         2    4.0000    0.9356    2.7681    0.0911   -0.3642    0.9309    0.0274    3.9999    0.9999         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3022    1.3110    0.0781    0.9839   -0.1785   -0.0058    4.0000    1.0000         0
         1         2    4.0000    0.8897    2.6526   -0.0459   -0.4033    0.9148   -0.0232    3.9999    0.9999         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2736    1.3400    0.1002    0.9887   -0.1496    0.0001    4.0000    1.0000         0
         1         2    4.0000    0.8024    2.6644    0.0332   -0.4796    0.8774    0.0087    3.9999    0.9999         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3795    1.2766    0.0722    0.9978   -0.0651   -0.0143    3.9999    0.9998         0
         1         2    4.0000    0.7639    2.7216   -0.0349   -0.4681    0.8837   -0.0023    4.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
