
% time 0.2000
% report fiber
         1         1    4.0000   -0.5784    1.0251    0.0919    0.5929   -0.8052   -0.0117    3.9999    0.9999         0
         1         2    2.0000    0.5365   -0.6425    0.1003   -0.6005    0.7997    0.0005    2.0000    1.0000         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5597    0.9826    0.0585    0.5785   -0.8154   -0.0230    4.0000    0.9999         0
         1         2    2.0000    0.5437   -0.7342    0.0209   -0.5608    0.8237    0.0837    2.0000    0.9999         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5959    0.8798    0.0101    0.5890   -0.8066   -0.0494    4.0000    0.9999         0
         1         2    2.0000    0.5433   -0.8543   -0.0495   -0.5801    0.8141    0.0280    2.0000    1.0000         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5926    0.9503    0.0160    0.4753   -0.8781   -0.0542    3.9998    0.9997         0
         1         2    2.0000    0.3262   -0.9106    0.0245   -0.4821    0.8725   -0.0799    2.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5988    0.8240    0.0999    0.4823   -0.8760    0.0015    4.0000    0.9999         0
         1         2    2.0000    0.3223   -1.0482    0.0193   -0.4732    0.8775    0.0782    2.0000    1.0000         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4277    0.6112    0.0935    0.3970   -0.9178   -0.0108    3.9999    0.9998         0
         1         2    2.0000    0.3342   -1.3635   -0.0078   -0.3964    0.9161    0.0604    2.0000    1.0000         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3801    0.6596    0.0851    0.3025   -0.9531   -0.0114    3.9999    0.9999         0
         1         2    2.0000    0.1991   -1.4406    0.0990   -0.3117    0.9502   -0.0041    2.0000    1.0000         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2512    0.7815    0.0620    0.2360   -0.9716    0.0166    4.0000    1.0000         0
         1         2    2.0000    0.1470   -1.3835    0.0589   -0.2039    0.9782    0.0402    2.0000    1.0000         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4064    0.6830    0.0590    0.2085   -0.9780    0.0023    4.0000    0.9999         0
         1         2    2.0000   -0.0562   -1.5153    0.1001   -0.1711    0.9852    0.0009    2.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4127    0.7295   -0.0881    0.1492   -0.9887   -0.0111    3.9998    0.9997         0
         1         2    2.0000   -0.1225   -1.5075   -0.0032   -0.1678    0.9842   -0.0568    2.0000    1.0000         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3304    0.5813   -0.0974    0.1599   -0.9871   -0.0006    3.9999    0.9999         0
         1         2    2.0000   -0.0847   -1.6850   -0.0544   -0.0941    0.9955    0.0061    2.0000    1.0000         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3386    0.6100   -0.0989    0.1714   -0.9852   -0.0025    3.9999    0.9998         0
         1         2    2.0000   -0.1012   -1.6641   -0.0655   -0.0823    0.9966    0.0023    2.0000    0.9999         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3255    0.5958   -0.1000    0.1733   -0.9849   -0.0004    3.9999    0.9999         0
         1         2    2.0000   -0.0767   -1.6602   -0.0816   -0.1050    0.9944    0.0122    2.0000    1.0000         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
