
% time 0.2000
% report fiber
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9109    1.3808   -0.1024    0.8622   -0.5066    0.0017    4.0000    1.0000         0
         1         2    4.0000    2.1169   -1.2642    0.1000    0.9945   -0.1052    0.0001    4.0000    1.0000         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9215    1.4434   -0.1018    0.8676   -0.4973    0.0019    4.0000    1.0000         0
         1         2    4.0000    2.3662   -1.0501    0.0412    0.9696   -0.2427    0.0302    4.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8513    1.3990   -0.0998    0.9171   -0.3987   -0.0017    3.9999    0.9999         0
         1         2    4.0000    2.1822   -1.0719   -0.0139    0.9937   -0.1011    0.0483    4.0000    0.9999         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9858    1.4616   -0.0486    0.8894   -0.4567   -0.0200    3.9999    0.9998         0
         1         2    4.0000    2.0202   -1.1082   -0.0031    0.9950   -0.0985   -0.0190    4.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7704    1.5036    0.0193    0.8333   -0.5503   -0.0531    3.9999    0.9998         0
         1         2    4.0000    1.9634   -0.8332    0.0988    0.9687   -0.2483    0.0039    3.9999    0.9999         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9276    1.4383   -0.0155    0.7047   -0.7095   -0.0004    3.9999    0.9999         0
         1         2    4.0000    1.8795   -0.6665    0.1051    0.9556   -0.2948    0.0018    4.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0673    1.4518   -0.0430    0.6781   -0.7341   -0.0359    3.9999    0.9998         0
         1         2    4.0000    1.9447   -0.6820    0.1090    0.9461   -0.3237   -0.0105    3.9999    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0406    1.7176    0.0674    0.7020   -0.7120   -0.0160    4.0000    1.0000         0
         1         2    4.0000    1.9907   -0.7491    0.1002    0.9905   -0.1379   -0.0004    4.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1222    1.7183    0.0973    0.7036   -0.7106    0.0037    4.0000    1.0000         0
         1         2    4.0000    2.0384   -0.8275    0.0996    0.9771   -0.2128   -0.0002    4.0000    0.9999         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1031    1.5555    0.0909    0.7532   -0.6578   -0.0020    3.9999    0.9998         0
         1         2    4.0000    2.0802   -1.0805    0.0639    0.9571   -0.2893   -0.0164    4.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9341    1.5374    0.0472    0.6064   -0.7949   -0.0205    4.0000    1.0000         0
         1         2    4.0000    2.1265   -1.0011    0.0863    0.9465   -0.3226   -0.0117    4.0000    0.9999         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9852    1.6302    0.1002    0.6947   -0.7193   -0.0001    3.9999    0.9999         0
         1         2    4.0000    2.0536   -1.1345    0.0999    0.8903   -0.4553    0.0005    3.9999    0.9998         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0745    1.8433    0.0987    0.7593   -0.6507    0.0014    4.0000    1.0000         0
         1         2    4.0000    2.3136   -1.3654    0.0791    0.8655   -0.5007    0.0143    4.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1844    2.0199    0.1042    0.8193   -0.5733   -0.0024    4.0000    1.0000         0
         1         2    4.0000    2.2474   -1.1884    0.1002    0.8842   -0.4670    0.0000    4.0000    1.0000         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2454    1.9898    0.1057    0.7832   -0.6217    0.0085    4.0000    1.0000         0
         1         2    4.0000    2.5076   -1.3001    0.1018    0.8812   -0.4728   -0.0043    3.9999    0.9999         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.4395    2.0618   -0.0102    0.8280   -0.5592    0.0416    4.0000    0.9999         0
         1         2    4.0000    2.4514   -1.3125    0.1002    0.8920   -0.4520    0.0015    3.9999    0.9999         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.4152    2.0903   -0.1001    0.7396   -0.6730    0.0000    4.0000    1.0000         0
         1         2    4.0000    2.4457   -1.3102    0.0186    0.9354   -0.3520   -0.0331    3.9999    0.9999         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.5187    1.9541   -0.0906    0.7037   -0.7104    0.0105    3.9999    0.9998         0
